"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"104","16","karot","food","predicate1","berde",0.92,"color"
"105","22","television","furniture","predicate1","maganda",1,"quality"
"106","22","silya","furniture","predicate1","maganda",1,"quality"
"107","22","karot","food","predicate1","asul",1,"color"
"108","22","keso","food","predicate1","parihaba",0,"shape"
"109","22","mansanas","food","predicate1","bilog",1,"shape"
"110","22","karot","food","predicate1","bago",1,"age"
"111","22","lampara","furniture","predicate1","mahaba",0,"size"
"112","22","mesa","furniture","predicate1","aluminyo",0,"material"
"113","22","keso","food","predicate1","maikli",0,"size"
"114","22","saging","food","predicate1","parihaba",0,"shape"
"115","22","saging","food","predicate1","parihaba",1,"shape"
"116","22","silya","furniture","predicate1","sira",1,"quality"
"117","22","kamatis","food","predicate1","sira",1,"quality"
"118","22","saging","food","predicate1","berde",0,"color"
"119","22","television","furniture","predicate1","mahaba",1,"size"
"120","22","kamatis","food","predicate1","bilog",0,"shape"
"121","22","silya","furniture","predicate1","berde",0,"color"
"122","22","television","furniture","predicate1","sira",1,"quality"
"123","22","television","furniture","predicate1","bakal",1,"material"
"124","22","kamatis","food","predicate1","bago",1,"age"
"125","22","mansanas","food","predicate1","sira",1,"quality"
"126","22","television","furniture","predicate1","malaki",1,"size"
"127","22","silya","furniture","predicate1","bulok",1,"age"
"128","22","television","furniture","predicate1","itim",0,"color"
"129","22","sopa","furniture","predicate1","sira",1,"quality"
"130","22","kamatis","food","predicate1","berde",0,"color"
"131","23","lampara","furniture","predicate1","dilaw",0.73,"color"
"132","23","mansanas","food","predicate1","pula",0.73,"color"
"133","23","lampara","furniture","predicate1","maganda",0.35,"quality"
"134","23","kamatis","food","predicate1","kahoy",0.85,"material"
"135","23","sopa","furniture","predicate1","pula",0.63,"color"
"136","23","mesa","furniture","predicate1","bago",0.18,"age"
"137","23","lampara","furniture","predicate1","kahoy",0.57,"material"
"138","23","keso","food","predicate1","makinis",0.72,"texture"
"139","23","keso","food","predicate1","pula",0.43,"color"
"140","23","television","furniture","predicate1","puti",0.8,"color"
"141","23","kamatis","food","predicate1","kahoy",0.53,"material"
"142","23","silya","furniture","predicate1","sariwa",0.07,"age"
"143","23","silya","furniture","predicate1","aluminyo",0.32,"material"
"144","23","kamatis","food","predicate1","itim",0.64,"color"
"145","23","sopa","furniture","predicate1","malambot",0.15,"texture"
"146","23","keso","food","predicate1","dilaw",0.53,"color"
"147","23","karot","food","predicate1","luma",0.76,"age"
"148","23","keso","food","predicate1","kahoy",0.69,"material"
"149","23","kamatis","food","predicate1","luma",0.73,"age"
"150","23","sopa","furniture","predicate1","kahoy",0.31,"material"
"151","23","lampara","furniture","predicate1","cuadrado",0.65,"shape"
"152","23","sopa","furniture","predicate1","berde",0.13,"color"
"153","23","karot","food","predicate1","mahaba",0.26,"size"
"154","23","mesa","furniture","predicate1","malaki",0.51,"size"
"155","23","lampara","furniture","predicate1","luma",0.6,"age"
"156","23","silya","furniture","predicate1","aluminyo",0.16,"material"
"157","29","keso","food","predicate1","itim",0.72,"color"
"158","29","television","furniture","predicate1","bakal",0.42,"material"
"159","29","saging","food","predicate1","kahoy",0.69,"material"
"160","29","saging","food","predicate1","malambot",0.88,"texture"
"161","29","mansanas","food","predicate1","tatsulok",0.4,"shape"
"162","29","saging","food","predicate1","bakal",0.77,"material"
"163","29","keso","food","predicate1","maliit",0.17,"size"
"164","29","keso","food","predicate1","kahoy",0.68,"material"
"165","29","television","furniture","predicate1","maliit",0.32,"size"
"166","29","mansanas","food","predicate1","malaki",0.43,"size"
"167","29","karot","food","predicate1","bulok",0.31,"age"
"168","29","lampara","furniture","predicate1","maikli",0.68,"size"
"169","29","mansanas","food","predicate1","aluminyo",0.79,"material"
"170","29","mesa","furniture","predicate1","bago",0.23,"age"
"171","29","saging","food","predicate1","makinis",0.7,"texture"
"172","29","saging","food","predicate1","kahoy",0.44,"material"
"173","29","sopa","furniture","predicate1","mahaba",0.71,"size"
"174","29","lampara","furniture","predicate1","maganda",0.77,"quality"
"175","29","lampara","furniture","predicate1","mahaba",0.82,"size"
"176","29","kamatis","food","predicate1","tatsulok",0.7,"shape"
"177","29","mesa","furniture","predicate1","mahaba",0.44,"size"
"178","29","silya","furniture","predicate1","malaki",0.82,"size"
"179","29","television","furniture","predicate1","luma",0.38,"age"
"180","29","television","furniture","predicate1","bakal",0.6,"material"
"181","29","sopa","furniture","predicate1","puti",0.77,"color"
"182","29","kamatis","food","predicate1","tatsulok",0.42,"shape"
"183","30","karot","food","predicate1","cuadrado",0.43,"shape"
"184","30","sopa","furniture","predicate1","makinis",0.7,"texture"
"185","30","television","furniture","predicate1","sira",0.22,"quality"
"186","30","mansanas","food","predicate1","maganda",0.69,"quality"
"187","30","mansanas","food","predicate1","tatsulok",0.84,"shape"
"188","30","keso","food","predicate1","pula",0.25,"color"
"189","30","lampara","furniture","predicate1","aluminyo",0.65,"material"
"190","30","karot","food","predicate1","pula",0.37,"color"
"191","30","keso","food","predicate1","asul",0.54,"color"
"192","30","lampara","furniture","predicate1","kahoy",0.7,"material"
"193","30","keso","food","predicate1","sariwa",0.38,"age"
"194","30","lampara","furniture","predicate1","dilaw",0.62,"color"
"195","30","saging","food","predicate1","cuadrado",0.71,"shape"
"196","30","kamatis","food","predicate1","bago",0.41,"age"
"197","30","mansanas","food","predicate1","malambot",0.56,"texture"
"198","30","mansanas","food","predicate1","bago",0.31,"age"
"199","30","karot","food","predicate1","malaki",0.68,"size"
"200","30","television","furniture","predicate1","asul",0.58,"color"
"201","30","mansanas","food","predicate1","itim",0.77,"color"
"202","30","silya","furniture","predicate1","bago",0.45,"age"
"203","30","keso","food","predicate1","mahaba",0.78,"size"
"204","30","silya","furniture","predicate1","berde",0.49,"color"
"205","30","lampara","furniture","predicate1","maganda",0.81,"quality"
"206","30","kamatis","food","predicate1","maganda",0.41,"quality"
"207","30","lampara","furniture","predicate1","pula",0.68,"color"
"208","30","keso","food","predicate1","tatsulok",0.34,"shape"
"209","31","mesa","furniture","predicate1","makinis",0.87,"texture"
"210","31","karot","food","predicate1","luma",0.91,"age"
"211","31","mansanas","food","predicate1","bago",0.83,"age"
"212","31","mesa","furniture","predicate1","luma",0.84,"age"
"213","31","mesa","furniture","predicate1","aluminyo",0.92,"material"
"214","31","silya","furniture","predicate1","makinis",0.86,"texture"
"215","31","sopa","furniture","predicate1","aluminyo",0.87,"material"
"216","31","mansanas","food","predicate1","bakal",0.8,"material"
"217","31","mesa","furniture","predicate1","berde",0.74,"color"
"218","31","television","furniture","predicate1","mahaba",0.94,"size"
"219","31","silya","furniture","predicate1","bago",0.81,"age"
"220","31","television","furniture","predicate1","makinis",0.79,"texture"
"221","31","saging","food","predicate1","asul",0.89,"color"
"222","31","kamatis","food","predicate1","bakal",0.87,"material"
"223","31","lampara","furniture","predicate1","mahaba",0.85,"size"
"224","31","sopa","furniture","predicate1","itim",0.79,"color"
"225","31","sopa","furniture","predicate1","maikli",0.82,"size"
"226","31","mesa","furniture","predicate1","matigas",0.82,"texture"
"227","31","lampara","furniture","predicate1","maikli",0.81,"size"
"228","31","mansanas","food","predicate1","kahoy",0.86,"material"
"229","31","silya","furniture","predicate1","makinis",0.86,"texture"
"230","31","karot","food","predicate1","bulok",0.8,"age"
"231","31","saging","food","predicate1","cuadrado",0.88,"shape"
"232","31","saging","food","predicate1","aluminyo",0.81,"material"
"233","31","mesa","furniture","predicate1","maliit",0.9,"size"
"234","31","saging","food","predicate1","itim",0.81,"color"
"235","37","lampara","furniture","predicate1","kahoy",0.72,"material"
"236","37","kamatis","food","predicate1","bulok",0.29,"age"
"237","37","mesa","furniture","predicate1","aluminyo",0.4,"material"
"238","37","silya","furniture","predicate1","bulok",0.32,"age"
"239","37","mesa","furniture","predicate1","makinis",0.72,"texture"
"240","37","silya","furniture","predicate1","malaki",0.35,"size"
"241","37","lampara","furniture","predicate1","makinis",0.17,"texture"
"242","37","karot","food","predicate1","malaki",0.65,"size"
"243","37","keso","food","predicate1","malambot",0.79,"texture"
"244","37","kamatis","food","predicate1","maganda",0.39,"quality"
"245","37","saging","food","predicate1","tatsulok",0.66,"shape"
"246","37","karot","food","predicate1","matigas",0.35,"texture"
"247","37","karot","food","predicate1","tatsulok",0.66,"shape"
"248","37","saging","food","predicate1","puti",0.39,"color"
"249","37","karot","food","predicate1","kahoy",0.61,"material"
"250","37","sopa","furniture","predicate1","malaki",0.32,"size"
"251","37","saging","food","predicate1","dilaw",0.75,"color"
"252","37","karot","food","predicate1","parihaba",0.36,"shape"
"253","37","lampara","furniture","predicate1","matigas",0.37,"texture"
"254","37","lampara","furniture","predicate1","malaki",0.67,"size"
"255","37","kamatis","food","predicate1","luma",0.31,"age"
"256","37","silya","furniture","predicate1","itim",0.13,"color"
"257","37","mesa","furniture","predicate1","cuadrado",0.56,"shape"
"258","37","lampara","furniture","predicate1","mahaba",0.29,"size"
"259","37","keso","food","predicate1","cuadrado",0.55,"shape"
"260","37","mansanas","food","predicate1","tatsulok",0.6,"shape"
"261","38","karot","food","predicate1","tatsulok",0.99,"shape"
"262","38","saging","food","predicate1","bago",0.02,"age"
"263","38","mansanas","food","predicate1","bulok",0.03,"age"
"264","38","lampara","furniture","predicate1","maikli",0.98,"size"
"265","38","karot","food","predicate1","malambot",0.99,"texture"
"266","38","television","furniture","predicate1","bakal",0.98,"material"
"267","38","lampara","furniture","predicate1","berde",0.98,"color"
"268","38","karot","food","predicate1","kahoy",0.02,"material"
"269","38","kamatis","food","predicate1","sariwa",0.98,"age"
"270","38","karot","food","predicate1","berde",0.01,"color"
"271","38","keso","food","predicate1","maliit",0.98,"size"
"272","38","television","furniture","predicate1","bago",0.99,"age"
"273","38","keso","food","predicate1","sira",0.03,"quality"
"274","38","mansanas","food","predicate1","pula",0.01,"color"
"275","38","lampara","furniture","predicate1","dilaw",0.03,"color"
"276","38","silya","furniture","predicate1","matigas",0.98,"texture"
"277","38","lampara","furniture","predicate1","mahaba",0.98,"size"
"278","38","lampara","furniture","predicate1","maliit",0.05,"size"
"279","38","mansanas","food","predicate1","mahaba",0.99,"size"
"280","38","sopa","furniture","predicate1","malambot",1,"texture"
"281","38","lampara","furniture","predicate1","pula",0.02,"color"
"282","38","sopa","furniture","predicate1","tatsulok",0.04,"shape"
"283","38","keso","food","predicate1","mahaba",0.95,"size"
"284","38","sopa","furniture","predicate1","puti",0.02,"color"
"285","38","karot","food","predicate1","maganda",0.98,"quality"
"286","38","karot","food","predicate1","bilog",0.01,"shape"
"287","41","keso","food","predicate1","malambot",0.66,"texture"
"288","41","lampara","furniture","predicate1","itim",0.66,"color"
"289","41","mansanas","food","predicate1","maikli",0.34,"size"
"290","41","mesa","furniture","predicate1","aluminyo",0.6,"material"
"291","41","mansanas","food","predicate1","maliit",0.61,"size"
"292","41","television","furniture","predicate1","sariwa",0.62,"age"
"293","41","lampara","furniture","predicate1","sariwa",0.7,"age"
"294","41","saging","food","predicate1","malambot",0.68,"texture"
"295","41","saging","food","predicate1","malaki",0.67,"size"
"296","41","karot","food","predicate1","sariwa",0.72,"age"
"297","41","lampara","furniture","predicate1","kahoy",0.68,"material"
"298","41","lampara","furniture","predicate1","bago",0.66,"age"
"299","41","silya","furniture","predicate1","bilog",0.24,"shape"
"300","41","karot","food","predicate1","dilaw",0.66,"color"
"301","41","kamatis","food","predicate1","bulok",0.64,"age"
"302","41","kamatis","food","predicate1","malaki",0.49,"size"
"303","41","kamatis","food","predicate1","pula",0.68,"color"
"304","41","mesa","furniture","predicate1","itim",0.67,"color"
"305","41","saging","food","predicate1","luma",0.81,"age"
"306","41","karot","food","predicate1","mahaba",0.63,"size"
"307","41","mansanas","food","predicate1","matigas",0.54,"texture"
"308","41","mesa","furniture","predicate1","luma",0.63,"age"
"309","41","lampara","furniture","predicate1","maliit",0.53,"size"
"310","41","keso","food","predicate1","kahoy",0.66,"material"
"311","41","sopa","furniture","predicate1","dilaw",0.66,"color"
"312","41","kamatis","food","predicate1","malaki",0.62,"size"
"313","42","mesa","furniture","predicate1","parihaba",1,"shape"
"314","42","keso","food","predicate1","maliit",0.98,"size"
"315","42","keso","food","predicate1","luma",0.02,"age"
"316","42","karot","food","predicate1","pula",0.02,"color"
"317","42","karot","food","predicate1","sira",0.03,"quality"
"318","42","television","furniture","predicate1","dilaw",0.97,"color"
"319","42","karot","food","predicate1","matigas",0.97,"texture"
"320","42","keso","food","predicate1","cuadrado",0.04,"shape"
"321","42","karot","food","predicate1","makinis",0.98,"texture"
"322","42","lampara","furniture","predicate1","maliit",0.95,"size"
"323","42","keso","food","predicate1","sariwa",0.97,"age"
"324","42","mesa","furniture","predicate1","bakal",0.04,"material"
"325","42","karot","food","predicate1","bulok",0.98,"age"
"326","42","mansanas","food","predicate1","berde",0,"color"
"327","42","mesa","furniture","predicate1","bago",0.99,"age"
"328","42","mansanas","food","predicate1","tatsulok",0.97,"shape"
"329","42","mesa","furniture","predicate1","parihaba",0.99,"shape"
"330","42","keso","food","predicate1","kahoy",0,"material"
"331","42","lampara","furniture","predicate1","tatsulok",0.05,"shape"
"332","42","sopa","furniture","predicate1","parihaba",0.04,"shape"
"333","42","silya","furniture","predicate1","berde",0.99,"color"
"334","42","mansanas","food","predicate1","bago",0,"age"
"335","42","television","furniture","predicate1","malaki",1,"size"
"336","42","saging","food","predicate1","berde",0.04,"color"
"337","42","saging","food","predicate1","bulok",0.01,"age"
"338","42","television","furniture","predicate1","tatsulok",0.02,"shape"
"339","49","mansanas","food","predicate1","asul",1,"color"
"340","49","silya","furniture","predicate1","tatsulok",0,"shape"
"341","49","mansanas","food","predicate1","asul",1,"color"
"342","49","saging","food","predicate1","kahoy",0,"material"
"343","49","saging","food","predicate1","luma",0,"age"
"344","49","karot","food","predicate1","tatsulok",1,"shape"
"345","49","sopa","furniture","predicate1","bulok",1,"age"
"346","49","lampara","furniture","predicate1","sariwa",1,"age"
"347","49","lampara","furniture","predicate1","malambot",1,"texture"
"348","49","kamatis","food","predicate1","maikli",0,"size"
"349","49","keso","food","predicate1","maikli",1,"size"
"350","49","sopa","furniture","predicate1","makinis",0,"texture"
"351","49","saging","food","predicate1","malambot",1,"texture"
"352","49","mesa","furniture","predicate1","asul",1,"color"
"353","49","mansanas","food","predicate1","bulok",0,"age"
"354","49","television","furniture","predicate1","kahoy",0,"material"
"355","49","karot","food","predicate1","parihaba",1,"shape"
"356","49","mansanas","food","predicate1","luma",0,"age"
"357","49","keso","food","predicate1","bago",1,"age"
"358","49","karot","food","predicate1","makinis",1,"texture"
"359","49","silya","furniture","predicate1","pula",1,"color"
"360","49","karot","food","predicate1","tatsulok",0,"shape"
"361","49","television","furniture","predicate1","bilog",0,"shape"
"362","49","television","furniture","predicate1","maganda",1,"quality"
"363","49","sopa","furniture","predicate1","makinis",0,"texture"
"364","49","keso","food","predicate1","kahoy",0,"material"
"365","50","kamatis","food","predicate1","kahoy",0.82,"material"
"366","50","lampara","furniture","predicate1","maliit",0.12,"size"
"367","50","silya","furniture","predicate1","mahaba",0.05,"size"
"368","50","saging","food","predicate1","sira",0.92,"quality"
"369","50","karot","food","predicate1","maliit",0.07,"size"
"370","50","lampara","furniture","predicate1","bilog",0.95,"shape"
"371","50","mansanas","food","predicate1","cuadrado",0.87,"shape"
"372","50","lampara","furniture","predicate1","bago",0.02,"age"
"373","50","sopa","furniture","predicate1","bulok",0.94,"age"
"374","50","mesa","furniture","predicate1","berde",0.02,"color"
"375","50","saging","food","predicate1","sariwa",0.06,"age"
"376","50","keso","food","predicate1","aluminyo",0.03,"material"
"377","50","silya","furniture","predicate1","bulok",0.06,"age"
"378","50","sopa","furniture","predicate1","puti",0.06,"color"
"379","50","mansanas","food","predicate1","sira",0.92,"quality"
"380","50","silya","furniture","predicate1","puti",0.02,"color"
"381","50","mesa","furniture","predicate1","sira",0,"quality"
"382","50","kamatis","food","predicate1","luma",0.02,"age"
"383","50","sopa","furniture","predicate1","matigas",0.92,"texture"
"384","50","saging","food","predicate1","cuadrado",0.02,"shape"
"385","50","sopa","furniture","predicate1","bakal",0.06,"material"
"386","50","television","furniture","predicate1","bulok",0.09,"age"
"387","50","mesa","furniture","predicate1","makinis",0.92,"texture"
"388","50","television","furniture","predicate1","kahoy",0.87,"material"
"389","50","kamatis","food","predicate1","berde",0.05,"color"
"390","50","kamatis","food","predicate1","malambot",0.96,"texture"
"391","51","sopa","furniture","predicate1","luma",0.88,"age"
"392","51","kamatis","food","predicate1","bakal",0.09,"material"
"393","51","mesa","furniture","predicate1","berde",0.16,"color"
"394","51","lampara","furniture","predicate1","cuadrado",0.56,"shape"
"395","51","karot","food","predicate1","kahoy",0.23,"material"
"396","51","saging","food","predicate1","bilog",0.74,"shape"
"397","51","kamatis","food","predicate1","sariwa",0.75,"age"
"398","51","sopa","furniture","predicate1","matigas",0.66,"texture"
"399","51","sopa","furniture","predicate1","tatsulok",0.67,"shape"
"400","51","kamatis","food","predicate1","makinis",0.89,"texture"
"401","51","saging","food","predicate1","puti",0.77,"color"
"402","51","saging","food","predicate1","bakal",0.75,"material"
"403","51","kamatis","food","predicate1","maganda",0.58,"quality"
"404","51","karot","food","predicate1","matigas",0.2,"texture"
"405","51","television","furniture","predicate1","bakal",0.7,"material"
"406","51","kamatis","food","predicate1","dilaw",0.63,"color"
"407","51","mansanas","food","predicate1","maganda",0.45,"quality"
"408","51","lampara","furniture","predicate1","maliit",0.31,"size"
"409","51","keso","food","predicate1","parihaba",0.49,"shape"
"410","51","mesa","furniture","predicate1","asul",0.69,"color"
"411","51","silya","furniture","predicate1","puti",0.34,"color"
"412","51","kamatis","food","predicate1","itim",0.25,"color"
"413","51","lampara","furniture","predicate1","matigas",0.3,"texture"
"414","51","mesa","furniture","predicate1","bilog",0.45,"shape"
"415","51","mansanas","food","predicate1","berde",0.18,"color"
"416","51","silya","furniture","predicate1","makinis",0.31,"texture"
"417","56","mansanas","food","predicate1","aluminyo",0.17,"material"
"418","56","saging","food","predicate1","malaki",0.81,"size"
"419","56","karot","food","predicate1","malaki",0.06,"size"
"420","56","kamatis","food","predicate1","pula",0.05,"color"
"421","56","saging","food","predicate1","cuadrado",0.89,"shape"
"422","56","sopa","furniture","predicate1","maliit",0.09,"size"
"423","56","saging","food","predicate1","bakal",0,"material"
"424","56","lampara","furniture","predicate1","maliit",0.07,"size"
"425","56","television","furniture","predicate1","bakal",0.07,"material"
"426","56","mansanas","food","predicate1","matigas",1,"texture"
"427","56","television","furniture","predicate1","maganda",1,"quality"
"428","56","silya","furniture","predicate1","matigas",1,"texture"
"429","56","saging","food","predicate1","sariwa",0,"age"
"430","56","karot","food","predicate1","pula",0,"color"
"431","56","silya","furniture","predicate1","luma",0.9,"age"
"432","56","silya","furniture","predicate1","cuadrado",0.85,"shape"
"433","56","karot","food","predicate1","asul",0.82,"color"
"434","56","mansanas","food","predicate1","dilaw",0.14,"color"
"435","56","sopa","furniture","predicate1","puti",0.85,"color"
"436","56","mansanas","food","predicate1","mahaba",0.16,"size"
"437","56","mansanas","food","predicate1","malambot",0.83,"texture"
"438","56","television","furniture","predicate1","bilog",0.91,"shape"
"439","56","mesa","furniture","predicate1","dilaw",0.05,"color"
"440","56","karot","food","predicate1","itim",0.93,"color"
"441","56","keso","food","predicate1","kahoy",0.2,"material"
"442","56","keso","food","predicate1","pula",0.09,"color"
"443","58","mesa","furniture","predicate1","asul",0,"color"
"444","58","sopa","furniture","predicate1","cuadrado",0,"shape"
"445","58","silya","furniture","predicate1","sira",0.23,"quality"
"446","58","lampara","furniture","predicate1","tatsulok",0.25,"shape"
"447","58","keso","food","predicate1","malaki",0.96,"size"
"448","58","kamatis","food","predicate1","makinis",0.89,"texture"
"449","58","mesa","furniture","predicate1","makinis",0.94,"texture"
"450","58","mesa","furniture","predicate1","cuadrado",0.01,"shape"
"451","58","mansanas","food","predicate1","malaki",0.82,"size"
"452","58","lampara","furniture","predicate1","asul",0.06,"color"
"453","58","silya","furniture","predicate1","pula",0.11,"color"
"454","58","saging","food","predicate1","dilaw",0.2,"color"
"455","58","keso","food","predicate1","kahoy",0.08,"material"
"456","58","saging","food","predicate1","sariwa",0.09,"age"
"457","58","kamatis","food","predicate1","maikli",0.13,"size"
"458","58","lampara","furniture","predicate1","bakal",0.17,"material"
"459","58","karot","food","predicate1","berde",0.09,"color"
"460","58","karot","food","predicate1","makinis",0.9,"texture"
"461","58","sopa","furniture","predicate1","bilog",0.17,"shape"
"462","58","television","furniture","predicate1","maikli",0.33,"size"
"463","58","lampara","furniture","predicate1","itim",0.36,"color"
"464","58","sopa","furniture","predicate1","bago",0.23,"age"
"465","58","mansanas","food","predicate1","maliit",0.79,"size"
"466","58","lampara","furniture","predicate1","matigas",0.71,"texture"
"467","58","mesa","furniture","predicate1","berde",0.68,"color"
"468","58","mansanas","food","predicate1","kahoy",0.25,"material"
"469","60","mansanas","food","predicate1","mahaba",0.04,"size"
"470","60","television","furniture","predicate1","pula",0.98,"color"
"471","60","karot","food","predicate1","maganda",0.99,"quality"
"472","60","sopa","furniture","predicate1","puti",0.03,"color"
"473","60","sopa","furniture","predicate1","cuadrado",0.03,"shape"
"474","60","kamatis","food","predicate1","cuadrado",0.03,"shape"
"475","60","saging","food","predicate1","cuadrado",0.93,"shape"
"476","60","mansanas","food","predicate1","luma",0.98,"age"
"477","60","keso","food","predicate1","malaki",0.97,"size"
"478","60","television","furniture","predicate1","aluminyo",0.04,"material"
"479","60","saging","food","predicate1","sira",0.99,"quality"
"480","60","mesa","furniture","predicate1","tatsulok",0.06,"shape"
"481","60","lampara","furniture","predicate1","tatsulok",0.05,"shape"
"482","60","kamatis","food","predicate1","parihaba",0.06,"shape"
"483","60","saging","food","predicate1","maikli",0.95,"size"
"484","60","karot","food","predicate1","bago",0.98,"age"
