"","workerid","firstutterance","noun","nounclass","slide_number","predicate","class","response","language","born","age","assess","agemove","live","dialects","education","gender"
"305",11,"ay hindi","silya","furniture",21,"kahoy","material",0.72,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"306",11,"ay","silya","furniture",22,"bilog","shape",0.51,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"307",11,"ay hindi","keso","food",23,"malaki","size",0.76,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"308",11,"ay hindi","mesa","furniture",24,"puti","color",0.3,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"309",11,"ay","mesa","furniture",25,"tatsulok","shape",0.63,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"310",11,"ay","mesa","furniture",26,"luma","age",0.8,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"311",11,"ay hindi","sopa","furniture",27,"malambot","texture",0.3,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"312",11,"ay","sopa","furniture",28,"berde","color",0.55,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"313",12,"ay hindi","sopa","furniture",3,"matigas","texture",0.68,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"314",12,"ay hindi","kamatis","food",4,"luma","age",0.51,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"315",12,"ay hindi","kamatis","food",5,"malaki","size",0.78,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"316",12,"ay hindi","silya","furniture",6,"maikli","size",0.36,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"317",12,"ay","television","furniture",7,"berde","color",0.49,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"318",12,"ay","sopa","furniture",8,"sira","quality",0.41,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"319",12,"ay hindi","saging","food",9,"puti","color",0.68,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"320",12,"ay hindi","television","furniture",10,"bulok","age",0.48,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"321",12,"ay","mansanas","food",11,"malambot","texture",0.73,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"322",12,"ay hindi","keso","food",12,"asul","color",0.39,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"323",12,"ay hindi","lampara","furniture",13,"maganda","quality",0.72,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"324",12,"ay hindi","mesa","furniture",14,"cuadrado","shape",0.54,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"325",12,"ay hindi","sopa","furniture",15,"bilog","shape",0.74,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"326",12,"ay hindi","keso","food",16,"dilaw","color",0.64,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"327",12,"ay","lampara","furniture",17,"makinis","texture",0.4,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"328",12,"ay hindi","keso","food",18,"sariwa","age",0.68,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"329",12,"ay hindi","keso","food",19,"pula","color",0.44,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"330",12,"ay","keso","food",20,"mahaba","size",0.65,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"331",12,"ay","sopa","furniture",21,"parihaba","shape",0.77,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"332",12,"ay hindi","lampara","furniture",22,"tatsulok","shape",0.37,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"333",12,"ay hindi","karot","food",23,"maliit","size",0.58,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"334",12,"ay hindi","sopa","furniture",24,"aluminyo","material",0.72,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"335",12,"ay hindi","sopa","furniture",25,"itim","color",0.78,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"336",12,"ay","lampara","furniture",26,"bago","age",0.38,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"337",12,"ay hindi","kamatis","food",27,"kahoy","material",0.56,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"338",12,"ay","television","furniture",28,"bakal","material",0.76,"filipino","Philippines",25,"Yes","16","Philippines","english",1,"Male"
"339",13,"ay hindi","television","furniture",3,"tatsulok","shape",0.94,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"340",13,"ay hindi","silya","furniture",4,"makinis","texture",0.94,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"341",13,"ay hindi","kamatis","food",5,"bilog","shape",0.94,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"342",13,"ay hindi","television","furniture",6,"pula","color",0.94,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"343",13,"ay","silya","furniture",7,"itim","color",0.99,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"344",13,"ay hindi","karot","food",8,"maganda","quality",0.94,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"345",13,"ay","mesa","furniture",9,"asul","color",0.98,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"346",13,"ay hindi","mansanas","food",10,"sariwa","age",0.96,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"347",13,"ay hindi","television","furniture",11,"malambot","texture",0.91,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"348",13,"ay","silya","furniture",12,"maikli","size",0.99,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"349",13,"ay hindi","saging","food",13,"bakal","material",0.06,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"350",13,"ay hindi","sopa","furniture",14,"maliit","size",0.05,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"351",13,"ay","mesa","furniture",15,"parihaba","shape",0.04,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"352",13,"ay","karot","food",16,"malaki","size",0.96,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"353",13,"ay","television","furniture",17,"bago","age",0.03,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"354",13,"ay hindi","saging","food",18,"dilaw","color",0.99,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"355",13,"ay hindi","silya","furniture",19,"sira","quality",0.96,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"356",13,"ay","saging","food",20,"mahaba","size",0.09,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"357",13,"ay hindi","lampara","furniture",21,"matigas","texture",0.99,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"358",13,"ay","karot","food",22,"bulok","age",0.05,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"359",13,"ay hindi","kamatis","food",23,"kahoy","material",0.1,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"360",13,"ay hindi","lampara","furniture",24,"aluminyo","material",0.05,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"361",13,"ay hindi","saging","food",25,"puti","color",0.96,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"362",13,"ay","television","furniture",26,"berde","color",0.99,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"363",13,"ay hindi","mesa","furniture",27,"cuadrado","shape",0.99,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"364",13,"ay hindi","karot","food",28,"luma","age",0.97,"Tagalog","Philippines",28,"Yes","20","USA","Engles, Kapampangan",3,"Female"
"391",15,"ay","mansanas","food",3,"bago","age",0.04,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"392",15,"ay","sopa","furniture",4,"maliit","size",0.02,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"393",15,"ay","television","furniture",5,"itim","color",0,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"394",15,"ay hindi","mesa","furniture",6,"asul","color",0.45,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"395",15,"ay hindi","mesa","furniture",7,"tatsulok","shape",0.01,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"396",15,"ay hindi","lampara","furniture",8,"makinis","texture",0.87,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"397",15,"ay hindi","kamatis","food",9,"bulok","age",0.04,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"398",15,"ay hindi","keso","food",10,"malambot","texture",0.89,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"399",15,"ay","keso","food",11,"luma","age",0.04,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"400",15,"ay","mesa","furniture",12,"maikli","size",0.5,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"401",15,"ay hindi","television","furniture",13,"puti","color",0.05,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"402",15,"ay hindi","karot","food",14,"sira","quality",0.55,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"403",15,"ay hindi","lampara","furniture",15,"cuadrado","shape",0.03,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"404",15,"ay","saging","food",16,"maganda","quality",0.92,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"405",15,"ay","mesa","furniture",17,"mahaba","size",0.96,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"406",15,"ay","television","furniture",18,"sariwa","age",0.25,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"407",15,"ay","saging","food",19,"kahoy","material",0.01,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"408",15,"ay hindi","television","furniture",20,"pula","color",0.06,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"409",15,"ay","keso","food",21,"berde","color",0.2,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"410",15,"ay hindi","television","furniture",22,"aluminyo","material",0.14,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"411",15,"ay","television","furniture",23,"bakal","material",0.05,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"412",15,"ay hindi","kamatis","food",24,"dilaw","color",0.27,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"413",15,"ay","kamatis","food",25,"matigas","texture",0.11,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"414",15,"ay hindi","keso","food",26,"parihaba","shape",0.06,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"415",15,"ay","keso","food",27,"malaki","size",0.5,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"416",15,"ay","television","furniture",28,"bilog","shape",0.07,"Tagalog","Philippines",37,"Yes","5","USA","English",3,"Female"
"521",20,"ay","lampara","furniture",3,"cuadrado","shape",0.45,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"522",20,"ay hindi","keso","food",4,"malambot","texture",0.44,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"523",20,"ay","keso","food",5,"parihaba","shape",0.55,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"524",20,"ay","saging","food",6,"bulok","age",0.36,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"525",20,"ay hindi","saging","food",7,"bakal","material",0.45,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"526",20,"ay","television","furniture",8,"mahaba","size",0.74,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"527",20,"ay","sopa","furniture",9,"sira","quality",0.39,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"528",20,"ay hindi","television","furniture",10,"dilaw","color",0.51,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"529",20,"ay hindi","lampara","furniture",11,"asul","color",0.36,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"530",20,"ay","karot","food",12,"sariwa","age",0.7,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"531",20,"ay","mansanas","food",13,"pula","color",0.49,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"532",20,"ay hindi","lampara","furniture",14,"maliit","size",0.54,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"533",20,"ay hindi","sopa","furniture",15,"makinis","texture",0.28,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"534",20,"ay","saging","food",16,"itim","color",0.78,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"535",20,"ay hindi","karot","food",17,"maganda","quality",0.43,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"536",20,"ay","mansanas","food",18,"malaki","size",0.53,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"537",20,"ay hindi","sopa","furniture",19,"bago","age",0.25,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"538",20,"ay","saging","food",20,"kahoy","material",0.76,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"539",20,"ay","kamatis","food",21,"maikli","size",0.23,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"540",20,"ay","sopa","furniture",22,"puti","color",0.39,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"541",20,"ay hindi","saging","food",23,"bilog","shape",0.47,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"542",20,"ay","saging","food",24,"luma","age",0.39,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"543",20,"ay","silya","furniture",25,"berde","color",0.56,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"544",20,"ay","karot","food",26,"matigas","texture",0.45,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"545",20,"ay hindi","saging","food",27,"tatsulok","shape",0.45,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"546",20,"ay","mesa","furniture",28,"aluminyo","material",0.44,"Tagalog ","Philippines",36,"Confused","29","USA","",-1,"Female"
"547",21,"ay hindi","lampara","furniture",3,"cuadrado","shape",0,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"548",21,"ay hindi","kamatis","food",4,"bago","age",0.02,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"549",21,"ay hindi","saging","food",5,"makinis","texture",0.02,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"550",21,"ay hindi","keso","food",6,"kahoy","material",0.04,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"551",21,"ay hindi","keso","food",7,"aluminyo","material",0.02,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"552",21,"ay hindi","saging","food",8,"puti","color",0.03,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"553",21,"ay","silya","furniture",9,"maikli","size",0.01,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"554",21,"ay","keso","food",10,"pula","color",0.04,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"555",21,"ay hindi","kamatis","food",11,"asul","color",0,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"556",21,"ay","keso","food",12,"bilog","shape",0.01,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"557",21,"ay","television","furniture",13,"parihaba","shape",0.02,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"558",21,"ay","mesa","furniture",14,"bakal","material",0.02,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"559",21,"ay","mesa","furniture",15,"malambot","texture",0.03,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"560",21,"ay hindi","keso","food",16,"luma","age",0.01,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"561",21,"ay hindi","lampara","furniture",17,"maganda","quality",0.96,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"562",21,"ay hindi","saging","food",18,"malaki","size",0.94,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"563",21,"ay","karot","food",19,"sira","quality",0,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"564",21,"ay hindi","saging","food",20,"matigas","texture",0.01,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"565",21,"ay hindi","karot","food",21,"mahaba","size",0.03,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"566",21,"ay","saging","food",22,"maliit","size",0.03,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"567",21,"ay hindi","mansanas","food",23,"bulok","age",0.01,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"568",21,"ay","mesa","furniture",24,"dilaw","color",0,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"569",21,"ay hindi","mansanas","food",25,"tatsulok","shape",0.01,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"570",21,"ay hindi","television","furniture",26,"itim","color",0.02,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"571",21,"ay hindi","sopa","furniture",27,"berde","color",0,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"572",21,"ay hindi","mesa","furniture",28,"sariwa","age",0,"Cebuano","Philippines",27,"Yes","5","Philippines","English",3,"Female"
"573",22,"ay","mansanas","food",3,"berde","color",0.21,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"574",22,"ay","television","furniture",4,"mahaba","size",0.71,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"575",22,"ay","television","furniture",5,"bakal","material",0.36,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"576",22,"ay","saging","food",6,"tatsulok","shape",0.21,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"577",22,"ay hindi","keso","food",7,"pula","color",0.68,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"578",22,"ay hindi","kamatis","food",8,"puti","color",0.42,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"579",22,"ay hindi","lampara","furniture",9,"bago","age",0.59,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"580",22,"ay hindi","silya","furniture",10,"malambot","texture",0.3,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"581",22,"ay","mansanas","food",11,"maliit","size",0.73,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"582",22,"ay","saging","food",12,"parihaba","shape",0.33,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"583",22,"ay","saging","food",13,"kahoy","material",0.83,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"584",22,"ay hindi","keso","food",14,"bulok","age",0.6,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"585",22,"ay hindi","karot","food",15,"itim","color",0.24,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"586",22,"ay hindi","karot","food",16,"luma","age",0.07,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"587",22,"ay hindi","silya","furniture",17,"matigas","texture",0.42,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"588",22,"ay hindi","lampara","furniture",18,"cuadrado","shape",0.74,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"589",22,"ay","saging","food",19,"malaki","size",0.24,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"590",22,"ay hindi","saging","food",20,"bilog","shape",0.46,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"591",22,"ay hindi","kamatis","food",21,"dilaw","color",0.67,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"592",22,"ay hindi","silya","furniture",22,"maikli","size",0.21,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"593",22,"ay","lampara","furniture",23,"makinis","texture",0.29,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"594",22,"ay hindi","kamatis","food",24,"sariwa","age",0.67,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"595",22,"ay","sopa","furniture",25,"asul","color",0.17,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"596",22,"ay hindi","television","furniture",26,"aluminyo","material",0.27,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"597",22,"ay","silya","furniture",27,"maganda","quality",0.7,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"598",22,"ay","kamatis","food",28,"sira","quality",0.26,"Filipino","Philippines",28,"No","6","USA","English",3,"Male"
"651",25,"ay hindi","lampara","furniture",3,"luma","age",0,"bisaya","Philippines",30,"Yes","25","Other","english",3,"Female"
"652",25,"ay","lampara","furniture",4,"tatsulok","shape",0,"bisaya","Philippines",30,"Yes","25","Other","english",3,"Female"
"653",25,"ay hindi","keso","food",5,"dilaw","color",1,"bisaya","Philippines",30,"Yes","25","Other","english",3,"Female"
"654",25,"ay hindi","silya","furniture",6,"maganda","quality",1,"bisaya","Philippines",30,"Yes","25","Other","english",3,"Female"
"655",25,"ay","mansanas","food",7,"asul","color",0,"bisaya","Philippines",30,"Yes","25","Other","english",3,"Female"
"656",25,"ay hindi","lampara","furniture",8,"itim","color",0.16,"bisaya","Philippines",30,"Yes","25","Other","english",3,"Female"
