"","workerid","noun","nounclass","slide_number","predicate1","predicate2","class1","class2","response","language","born","age","assess","agemove","live","dialects","education"
"291","11","silya","furniture","7","maikli","makinis","size","texture",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"292","11","karot","food","8","itim","luma","color","age",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"293","11","mesa","furniture","9","sira","sariwa","quality","age",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"294","11","keso","food","10","sariwa","bilog","age","shape",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"295","11","saging","food","11","luma","tatsulok","age","shape",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"296","11","silya","furniture","12","bulok","tatsulok","age","shape",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"297","11","television","furniture","13","maganda","malaki","quality","size",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"298","11","keso","food","14","kahoy","parihaba","material","shape",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"299","11","lampara","furniture","15","tatsulok","makinis","shape","texture",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"300","11","lampara","furniture","16","mahaba","cuadrado","size","shape",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"301","11","television","furniture","17","mahaba","asul","size","color",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"302","11","karot","food","18","kahoy","dilaw","material","color",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"303","11","karot","food","19","sira","asul","quality","color",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"304","11","silya","furniture","20","itim","kahoy","color","material",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"305","11","mansanas","food","21","bago","kahoy","age","material",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"306","11","sopa","furniture","22","luma","mahaba","age","size",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"307","11","television","furniture","23","bilog","mahaba","shape","size",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"308","11","sopa","furniture","24","dilaw","bulok","color","age",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"309","11","television","furniture","25","luma","makinis","age","texture",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"310","11","mansanas","food","26","dilaw","malaki","color","size",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"311","11","mansanas","food","27","aluminyo","maliit","material","size",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"312","11","mansanas","food","28","makinis","parihaba","texture","shape",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"339","13","silya","furniture","3","maganda","malambot","quality","texture",0.72,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"340","13","saging","food","4","dilaw","bakal","color","material",0.71,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"341","13","kamatis","food","5","cuadrado","maikli","shape","size",0.32,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"342","13","keso","food","6","bago","tatsulok","age","shape",0.26,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"343","13","lampara","furniture","7","matigas","mahaba","texture","size",0.66,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"344","13","mansanas","food","8","bakal","malambot","material","texture",0.67,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"345","13","television","furniture","9","malambot","cuadrado","texture","shape",0.83,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"346","13","mansanas","food","10","bulok","dilaw","age","color",0.73,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"347","13","television","furniture","11","pula","sira","color","quality",0.25,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"348","13","saging","food","12","bago","itim","age","color",0.29,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"349","13","kamatis","food","13","malaki","matigas","size","texture",0.53,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"350","13","mansanas","food","14","asul","maikli","color","size",0.68,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"351","13","saging","food","15","aluminyo","pula","material","color",0.24,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"352","13","silya","furniture","16","mahaba","itim","size","color",0.28,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"353","13","karot","food","17","bilog","bulok","shape","age",0.44,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"354","13","karot","food","18","asul","aluminyo","color","material",0.25,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"355","13","keso","food","19","puti","matigas","color","texture",0.25,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"356","13","saging","food","20","tatsulok","malambot","shape","texture",0.71,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"357","13","karot","food","21","bulok","pula","age","color",0.72,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"358","13","silya","furniture","22","sariwa","kahoy","age","material",0.33,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"359","13","sopa","furniture","23","sariwa","itim","age","color",0.73,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"360","13","karot","food","24","sariwa","bilog","age","shape",0.35,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"361","13","sopa","furniture","25","aluminyo","cuadrado","material","shape",0.71,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"362","13","television","furniture","26","berde","malaki","color","size",0.25,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"363","13","saging","food","27","kahoy","tatsulok","material","shape",0.69,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"364","13","sopa","furniture","28","luma","kahoy","age","material",0.72,"Tagalog/English","USA","46","Yes","n/a","USA","n/a","3"
"365","14","keso","food","3","maikli","cuadrado","size","shape",0.87,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"366","14","saging","food","4","bago","kahoy","age","material",0.12,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"367","14","saging","food","5","berde","maliit","color","size",0.12,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"368","14","mansanas","food","6","itim","bulok","color","age",0.85,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"369","14","lampara","furniture","7","bago","itim","age","color",0.18,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"370","14","television","furniture","8","puti","bago","color","age",0.87,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"371","14","mesa","furniture","9","bulok","maliit","age","size",0.92,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"372","14","mesa","furniture","10","maliit","bakal","size","material",0.91,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"373","14","television","furniture","11","makinis","tatsulok","texture","shape",0.88,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"374","14","television","furniture","12","luma","pula","age","color",0.87,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"375","14","mesa","furniture","13","malaki","sira","size","quality",0.91,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"376","14","saging","food","14","parihaba","malaki","shape","size",0.11,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"377","14","keso","food","15","makinis","maikli","texture","size",0.88,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"378","14","keso","food","16","bago","pula","age","color",0.92,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"379","14","keso","food","17","aluminyo","maganda","material","quality",0.08,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"380","14","saging","food","18","pula","bago","color","age",0.86,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"381","14","mesa","furniture","19","bakal","dilaw","material","color",0.88,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"382","14","sopa","furniture","20","makinis","puti","texture","color",0.87,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"383","14","silya","furniture","21","malaki","itim","size","color",0.87,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"384","14","karot","food","22","malaki","bilog","size","shape",0.88,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"385","14","television","furniture","23","itim","cuadrado","color","shape",0.94,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"386","14","mesa","furniture","24","pula","maliit","color","size",0.87,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"387","14","mansanas","food","25","kahoy","malaki","material","size",0.11,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"388","14","keso","food","26","parihaba","mahaba","shape","size",0.88,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"389","14","saging","food","27","mahaba","bilog","size","shape",0.91,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"390","14","lampara","furniture","28","malaki","kahoy","size","material",0.88,"Tagalog","Other","35","Yes",NA,"Philippines","Bisaya","4"
"833","32","saging","food","3","aluminyo","makinis","material","texture",0.56,"Filipino","Philippines","26","Yes","5","USA","english","3"
"834","32","saging","food","4","makinis","sariwa","texture","age",0.28,"Filipino","Philippines","26","Yes","5","USA","english","3"
"835","32","sopa","furniture","5","mahaba","sariwa","size","age",0.33,"Filipino","Philippines","26","Yes","5","USA","english","3"
"836","32","mesa","furniture","6","asul","bago","color","age",0.69,"Filipino","Philippines","26","Yes","5","USA","english","3"
"837","32","television","furniture","7","parihaba","sariwa","shape","age",0.25,"Filipino","Philippines","26","Yes","5","USA","english","3"
"838","32","silya","furniture","8","sariwa","matigas","age","texture",0.59,"Filipino","Philippines","26","Yes","5","USA","english","3"
"839","32","sopa","furniture","9","matigas","kahoy","texture","material",0.25,"Filipino","Philippines","26","Yes","5","USA","english","3"
"840","32","kamatis","food","10","bulok","pula","age","color",0.66,"Filipino","Philippines","26","Yes","5","USA","english","3"
"841","32","keso","food","11","maganda","makinis","quality","texture",0.29,"Filipino","Philippines","26","Yes","5","USA","english","3"
"842","32","television","furniture","12","sira","malambot","quality","texture",0.65,"Filipino","Philippines","26","Yes","5","USA","english","3"
"843","32","lampara","furniture","13","sira","matigas","quality","texture",0.35,"Filipino","Philippines","26","Yes","5","USA","english","3"
"844","32","sopa","furniture","14","dilaw","malambot","color","texture",0.67,"Filipino","Philippines","26","Yes","5","USA","english","3"
"845","32","karot","food","15","makinis","itim","texture","color",0.32,"Filipino","Philippines","26","Yes","5","USA","english","3"
"846","32","mansanas","food","16","bakal","sira","material","quality",0.41,"Filipino","Philippines","26","Yes","5","USA","english","3"
"847","32","karot","food","17","itim","luma","color","age",0.72,"Filipino","Philippines","26","Yes","5","USA","english","3"
"848","32","keso","food","18","bulok","sira","age","quality",0.6,"Filipino","Philippines","26","Yes","5","USA","english","3"
"849","32","kamatis","food","19","bakal","berde","material","color",0.24,"Filipino","Philippines","26","Yes","5","USA","english","3"
"850","32","karot","food","20","dilaw","bulok","color","age",0.68,"Filipino","Philippines","26","Yes","5","USA","english","3"
"851","32","karot","food","21","berde","cuadrado","color","shape",0.47,"Filipino","Philippines","26","Yes","5","USA","english","3"
"852","32","silya","furniture","22","matigas","malaki","texture","size",0.28,"Filipino","Philippines","26","Yes","5","USA","english","3"
"853","32","mansanas","food","23","pula","matigas","color","texture",0.74,"Filipino","Philippines","26","Yes","5","USA","english","3"
"854","32","karot","food","24","cuadrado","itim","shape","color",0.44,"Filipino","Philippines","26","Yes","5","USA","english","3"
"855","32","sopa","furniture","25","pula","bilog","color","shape",0.76,"Filipino","Philippines","26","Yes","5","USA","english","3"
"856","32","karot","food","26","bulok","sira","age","quality",0.8,"Filipino","Philippines","26","Yes","5","USA","english","3"
"857","32","lampara","furniture","27","maikli","tatsulok","size","shape",0.23,"Filipino","Philippines","26","Yes","5","USA","english","3"
"858","32","lampara","furniture","28","malambot","parihaba","texture","shape",0.72,"Filipino","Philippines","26","Yes","5","USA","english","3"
"859","33","mansanas","food","3","maganda","pula","quality","color",0.56,"filipino","Philippines","20","Yes","12","USA","english","0"
"860","33","sopa","furniture","4","bago","maganda","age","quality",0.73,"filipino","Philippines","20","Yes","12","USA","english","0"
"861","33","television","furniture","5","malaki","luma","size","age",0.15,"filipino","Philippines","20","Yes","12","USA","english","0"
"862","33","karot","food","6","pula","bilog","color","shape",0.44,"filipino","Philippines","20","Yes","12","USA","english","0"
"863","33","kamatis","food","7","puti","maliit","color","size",0.81,"filipino","Philippines","20","Yes","12","USA","english","0"
"864","33","saging","food","8","dilaw","kahoy","color","material",0.82,"filipino","Philippines","20","Yes","12","USA","english","0"
"865","33","kamatis","food","9","matigas","malaki","texture","size",0.53,"filipino","Philippines","20","Yes","12","USA","english","0"
"866","33","television","furniture","10","puti","bakal","color","material",0.29,"filipino","Philippines","20","Yes","12","USA","english","0"
"867","33","saging","food","11","sira","parihaba","quality","shape",0.31,"filipino","Philippines","20","Yes","12","USA","english","0"
"868","33","lampara","furniture","12","kahoy","berde","material","color",0.85,"filipino","Philippines","20","Yes","12","USA","english","0"
"869","33","keso","food","13","bilog","maliit","shape","size",0.51,"filipino","Philippines","20","Yes","12","USA","english","0"
"870","33","karot","food","14","tatsulok","puti","shape","color",0.81,"filipino","Philippines","20","Yes","12","USA","english","0"
"871","33","television","furniture","15","bilog","luma","shape","age",0.38,"filipino","Philippines","20","Yes","12","USA","english","0"
"872","33","lampara","furniture","16","malaki","bago","size","age",0.69,"filipino","Philippines","20","Yes","12","USA","english","0"
"873","33","mesa","furniture","17","berde","sira","color","quality",0.62,"filipino","Philippines","20","Yes","12","USA","english","0"
"874","33","mansanas","food","18","sariwa","malaki","age","size",0.6,"filipino","Philippines","20","Yes","12","USA","english","0"
"875","33","keso","food","19","maganda","malaki","quality","size",0.46,"filipino","Philippines","20","Yes","12","USA","english","0"
"876","33","keso","food","20","maganda","kahoy","quality","material",0.44,"filipino","Philippines","20","Yes","12","USA","english","0"
"877","33","saging","food","21","parihaba","malambot","shape","texture",0.34,"filipino","Philippines","20","Yes","12","USA","english","0"
"878","33","mansanas","food","22","dilaw","maliit","color","size",0.73,"filipino","Philippines","20","Yes","12","USA","english","0"
"879","33","silya","furniture","23","tatsulok","malaki","shape","size",0.68,"filipino","Philippines","20","Yes","12","USA","english","0"
"880","33","keso","food","24","itim","maliit","color","size",0.67,"filipino","Philippines","20","Yes","12","USA","english","0"
"881","33","saging","food","25","tatsulok","pula","shape","color",0.49,"filipino","Philippines","20","Yes","12","USA","english","0"
"882","33","saging","food","26","malambot","maganda","texture","quality",0.77,"filipino","Philippines","20","Yes","12","USA","english","0"
"883","33","keso","food","27","kahoy","parihaba","material","shape",0.62,"filipino","Philippines","20","Yes","12","USA","english","0"
"884","33","keso","food","28","makinis","maganda","texture","quality",0.46,"filipino","Philippines","20","Yes","12","USA","english","0"
"1067","41","saging","food","3","malambot","mahaba","texture","size",0.45,"tagalog","USA","25","Yes","","USA","","2"
"1068","41","kamatis","food","4","luma","pula","age","color",0.62,"tagalog","USA","25","Yes","","USA","","2"
"1069","41","lampara","furniture","5","malaki","bulok","size","age",0.26,"tagalog","USA","25","Yes","","USA","","2"
"1070","41","mesa","furniture","6","mahaba","cuadrado","size","shape",0.68,"tagalog","USA","25","Yes","","USA","","2"
"1071","41","saging","food","7","malaki","bulok","size","age",0.66,"tagalog","USA","25","Yes","","USA","","2"
"1072","41","sopa","furniture","8","tatsulok","pula","shape","color",0.43,"tagalog","USA","25","Yes","","USA","","2"
"1073","41","lampara","furniture","9","kahoy","bulok","material","age",0.65,"tagalog","USA","25","Yes","","USA","","2"
"1074","41","lampara","furniture","10","maliit","asul","size","color",0.32,"tagalog","USA","25","Yes","","USA","","2"
"1075","41","silya","furniture","11","sariwa","maliit","age","size",0.76,"tagalog","USA","25","Yes","","USA","","2"
"1076","41","lampara","furniture","12","pula","maliit","color","size",0.77,"tagalog","USA","25","Yes","","USA","","2"
"1077","41","keso","food","13","puti","cuadrado","color","shape",0.44,"tagalog","USA","25","Yes","","USA","","2"
"1078","41","sopa","furniture","14","tatsulok","pula","shape","color",0.67,"tagalog","USA","25","Yes","","USA","","2"
"1079","41","karot","food","15","asul","bulok","color","age",0.75,"tagalog","USA","25","Yes","","USA","","2"
"1080","41","kamatis","food","16","maliit","sira","size","quality",0.23,"tagalog","USA","25","Yes","","USA","","2"
"1081","41","karot","food","17","pula","sariwa","color","age",0.65,"tagalog","USA","25","Yes","","USA","","2"
"1082","41","silya","furniture","18","pula","matigas","color","texture",0.76,"tagalog","USA","25","Yes","","USA","","2"
"1083","41","kamatis","food","19","puti","sariwa","color","age",0.44,"tagalog","USA","25","Yes","","USA","","2"
"1084","41","karot","food","20","sira","luma","quality","age",0.76,"tagalog","USA","25","Yes","","USA","","2"
"1085","41","saging","food","21","malaki","berde","size","color",0.32,"tagalog","USA","25","Yes","","USA","","2"
"1086","41","sopa","furniture","22","bago","bakal","age","material",0.7,"tagalog","USA","25","Yes","","USA","","2"
"1087","41","kamatis","food","23","maliit","malambot","size","texture",0.67,"tagalog","USA","25","Yes","","USA","","2"
"1088","41","keso","food","24","tatsulok","aluminyo","shape","material",0.76,"tagalog","USA","25","Yes","","USA","","2"
"1089","41","saging","food","25","luma","sira","age","quality",0.7,"tagalog","USA","25","Yes","","USA","","2"
"1090","41","keso","food","26","sira","malaki","quality","size",0.23,"tagalog","USA","25","Yes","","USA","","2"
"1091","41","saging","food","27","aluminyo","parihaba","material","shape",0.3,"tagalog","USA","25","Yes","","USA","","2"
"1092","41","lampara","furniture","28","aluminyo","maliit","material","size",0.27,"tagalog","USA","25","Yes","","USA","","2"
